"p_success_prev","out_mean","out_lci","out_uci"
0,0.567377966039548,0.512165062358566,0.621042897643066
0.05,0.561301267123717,0.508117116554988,0.613181035335639
0.1,0.554696226963928,0.503579038652345,0.604743121280635
0.15,0.547539632573447,0.498527908544202,0.595703652187333
0.2,0.539842865640954,0.492956671929932,0.586088762722207
0.25,0.531664855030453,0.486879815662309,0.575997158036765
0.3,0.523122963422436,0.480342547727864,0.565614024349727
0.35,0.514398497404893,0.473435381465066,0.555208983362858
0.4,0.505733518156098,0.466313238391292,0.545111634760726
0.45,0.497416698956894,0.459211779164738,0.535666866264561
0.5,0.489758132454817,0.452446239528463,0.527184413709934
0.55,0.483055749611849,0.44637768855065,0.519903742718885
0.6,0.477558509488292,0.441346803668352,0.513985453526816
0.65,0.473432884351229,0.437594719697385,0.509523290685102
0.7,0.470738928231474,0.435193982310587,0.506566097848642
0.75,0.469420475951827,0.434008941173539,0.505138720140745
0.8,0.469311298889521,0.433708952655536,0.505241479465658
0.85,0.470156029392317,0.433849748865061,0.506810397065442
0.9,0.471642009442063,0.433992204030282,0.509661645786373
0.95,0.473436447850755,0.433792079814116,0.513475880402628
1,0.475222717159631,0.433030640902528,0.517840372068208
