"p_success_prev","out_mean","out_lci","out_uci"
0,0.567626993943463,0.520596652937997,0.613493196716872
0.05,0.561546563609865,0.515809546281618,0.606281616897306
0.1,0.554934141732846,0.510558780475575,0.598469224130095
0.15,0.547766770054652,0.504823592552546,0.590028927947372
0.2,0.540056582010637,0.498597255832397,0.580988128788419
0.25,0.531863790511501,0.49189286102882,0.57144954518468
0.3,0.523307549320895,0.484753781035982,0.561603684105433
0.35,0.514571370851291,0.477271074802285,0.55172366930347
0.4,0.505899782379163,0.469606364019245,0.542136599362221
0.45,0.497583982585444,0.462010725889466,0.533175858806137
0.5,0.489936423351515,0.454821560176425,0.525132260424215
0.55,0.483257001015169,0.448421988487245,0.518225490635305
0.6,0.477796035724025,0.443168602380948,0.512601330367502
0.65,0.473720582822312,0.439311380405083,0.508344441577725
0.7,0.471090389132317,0.436926697700791,0.50549816106195
0.75,0.46984807122287,0.435878918720871,0.504084190128163
0.8,0.469825366917901,0.435830702291278,0.504105112863772
0.85,0.470764275042187,0.436319902955597,0.505509429168949
0.9,0.472349208687408,0.436881690214413,0.508133161727074
0.95,0.474244486892247,0.437146555771037,0.511676491210884
1,0.476130927584449,0.436875375170927,0.515741937871416
