"hz","date","epi_year","epi_week","day","r_mean","r_se","r_lci","r_uci","cases"
"Beni",2019-10-14,2019,41,NA,NA,NA,NA,NA,2
"Biena",2018-08-13,2018,32,8,NA,NA,NA,NA,0
"Biena",2018-08-20,2018,33,15,NA,NA,NA,NA,0
"Biena",2018-08-27,2018,34,22,NA,NA,NA,NA,0
"Biena",2018-09-03,2018,35,29,NA,NA,NA,NA,0
"Biena",2018-09-10,2018,36,36,NA,NA,NA,NA,0
"Biena",2018-09-17,2018,37,43,NA,NA,NA,NA,0
"Biena",2018-09-24,2018,38,50,NA,NA,NA,NA,0
"Biena",2018-10-01,2018,39,57,NA,NA,NA,NA,0
"Biena",2018-10-08,2018,40,64,NA,NA,NA,NA,0
"Biena",2018-10-15,2018,41,71,NA,NA,NA,NA,0
"Biena",2018-10-22,2018,42,78,NA,NA,NA,NA,0
"Biena",2018-10-29,2018,43,85,NA,NA,NA,NA,0
"Biena",2018-11-05,2018,44,92,NA,NA,NA,NA,0
"Biena",2018-11-12,2018,45,99,NA,NA,NA,NA,0
"Biena",2018-11-19,2018,46,106,NA,NA,NA,NA,0
"Biena",2018-11-26,2018,47,113,NA,NA,NA,NA,0
"Biena",2018-12-03,2018,48,120,NA,NA,NA,NA,1
"Biena",2018-12-10,2018,49,127,NA,NA,NA,NA,0
"Biena",2018-12-17,2018,50,134,NA,NA,NA,NA,0
"Biena",2018-12-24,2018,51,141,NA,NA,NA,NA,0
"Biena",2018-12-31,2018,52,148,NA,NA,NA,NA,0
"Biena",2019-01-07,2019,1,155,NA,NA,NA,NA,1
"Biena",2019-01-14,2019,2,162,NA,NA,NA,NA,2
"Biena",2019-01-21,2019,3,169,NA,NA,NA,NA,0
"Biena",2019-01-28,2019,4,176,NA,NA,NA,NA,1
"Biena",2019-02-04,2019,5,183,NA,NA,NA,NA,0
"Biena",2019-02-11,2019,6,190,NA,NA,NA,NA,0
"Biena",2019-02-18,2019,7,197,NA,NA,NA,NA,0
"Biena",2019-02-25,2019,8,204,NA,NA,NA,NA,0
"Biena",2019-03-04,2019,9,211,NA,NA,NA,NA,0
"Biena",2019-03-11,2019,10,218,NA,NA,NA,NA,2
"Biena",2019-03-18,2019,11,225,NA,NA,NA,NA,0
"Biena",2019-03-25,2019,12,232,NA,NA,NA,NA,0
"Biena",2019-04-01,2019,13,239,NA,NA,NA,NA,0
"Biena",2019-04-08,2019,14,246,NA,NA,NA,NA,0
"Biena",2019-04-15,2019,15,253,NA,NA,NA,NA,0
"Biena",2019-04-22,2019,16,260,NA,NA,NA,NA,0
"Biena",2019-04-29,2019,17,267,NA,NA,NA,NA,0
"Biena",2019-05-06,2019,18,274,NA,NA,NA,NA,0
"Biena",2019-05-13,2019,19,281,NA,NA,NA,NA,0
"Biena",2019-05-20,2019,20,288,NA,NA,NA,NA,0
"Biena",2019-05-27,2019,21,295,NA,NA,NA,NA,0
"Biena",2019-06-03,2019,22,302,NA,NA,NA,NA,0
"Biena",2019-06-10,2019,23,309,NA,NA,NA,NA,3
"Biena",2019-06-17,2019,24,316,NA,NA,NA,NA,0
"Biena",2019-06-24,2019,25,323,NA,NA,NA,NA,4
"Biena",2019-07-01,2019,26,330,NA,NA,NA,NA,1
"Biena",2019-07-08,2019,27,337,NA,NA,NA,NA,0
"Biena",2019-07-15,2019,28,344,NA,NA,NA,NA,0
"Biena",2019-07-22,2019,29,351,NA,NA,NA,NA,0
"Biena",2019-07-29,2019,30,358,NA,NA,NA,NA,0
"Biena",2019-08-05,2019,31,365,NA,NA,NA,NA,0
"Biena",2019-08-12,2019,32,372,NA,NA,NA,NA,0
"Biena",2019-08-19,2019,33,379,NA,NA,NA,NA,0
"Biena",2019-08-26,2019,34,386,NA,NA,NA,NA,0
"Biena",2019-09-02,2019,35,393,NA,NA,NA,NA,0
"Biena",2019-09-09,2019,36,400,NA,NA,NA,NA,0
"Biena",2019-09-16,2019,37,407,NA,NA,NA,NA,2
"Biena",2019-09-23,2019,38,414,NA,NA,NA,NA,0
"Biena",2019-09-30,2019,39,421,NA,NA,NA,NA,0
"Biena",2019-10-07,2019,40,428,NA,NA,NA,NA,0
"Biena",2019-10-14,2019,41,NA,NA,NA,NA,NA,0
"Bunia",2018-08-13,2018,32,8,NA,NA,NA,NA,0
"Bunia",2018-08-20,2018,33,15,NA,NA,NA,NA,0
"Bunia",2018-08-27,2018,34,22,NA,NA,NA,NA,0
"Bunia",2018-09-03,2018,35,29,NA,NA,NA,NA,0
"Bunia",2018-09-10,2018,36,36,NA,NA,NA,NA,0
"Bunia",2018-09-17,2018,37,43,NA,NA,NA,NA,0
"Bunia",2018-09-24,2018,38,50,NA,NA,NA,NA,0
"Bunia",2018-10-01,2018,39,57,NA,NA,NA,NA,0
"Bunia",2018-10-08,2018,40,64,NA,NA,NA,NA,0
"Bunia",2018-10-15,2018,41,71,NA,NA,NA,NA,0
"Bunia",2018-10-22,2018,42,78,NA,NA,NA,NA,0
"Bunia",2018-10-29,2018,43,85,NA,NA,NA,NA,0
"Bunia",2018-11-05,2018,44,92,NA,NA,NA,NA,0
"Bunia",2018-11-12,2018,45,99,NA,NA,NA,NA,0
"Bunia",2018-11-19,2018,46,106,NA,NA,NA,NA,0
"Bunia",2018-11-26,2018,47,113,NA,NA,NA,NA,0
"Bunia",2018-12-03,2018,48,120,NA,NA,NA,NA,0
"Bunia",2018-12-10,2018,49,127,NA,NA,NA,NA,0
"Bunia",2018-12-17,2018,50,134,NA,NA,NA,NA,0
"Bunia",2018-12-24,2018,51,141,NA,NA,NA,NA,0
"Bunia",2018-12-31,2018,52,148,NA,NA,NA,NA,0
"Bunia",2019-01-07,2019,1,155,NA,NA,NA,NA,0
"Bunia",2019-01-14,2019,2,162,NA,NA,NA,NA,0
"Bunia",2019-01-21,2019,3,169,NA,NA,NA,NA,0
"Bunia",2019-01-28,2019,4,176,NA,NA,NA,NA,0
"Bunia",2019-02-04,2019,5,183,NA,NA,NA,NA,0
"Bunia",2019-02-11,2019,6,190,NA,NA,NA,NA,0
"Bunia",2019-02-18,2019,7,197,NA,NA,NA,NA,0
"Bunia",2019-02-25,2019,8,204,NA,NA,NA,NA,0
"Bunia",2019-03-04,2019,9,211,NA,NA,NA,NA,0
"Bunia",2019-03-11,2019,10,218,NA,NA,NA,NA,0
"Bunia",2019-03-18,2019,11,225,NA,NA,NA,NA,1
"Bunia",2019-03-25,2019,12,232,NA,NA,NA,NA,0
"Bunia",2019-04-01,2019,13,239,NA,NA,NA,NA,0
"Bunia",2019-04-08,2019,14,246,NA,NA,NA,NA,0
"Bunia",2019-04-15,2019,15,253,NA,NA,NA,NA,0
"Bunia",2019-04-22,2019,16,260,NA,NA,NA,NA,0
"Bunia",2019-04-29,2019,17,267,NA,NA,NA,NA,0
"Bunia",2019-05-06,2019,18,274,NA,NA,NA,NA,0
"Bunia",2019-05-13,2019,19,281,NA,NA,NA,NA,0
"Bunia",2019-05-20,2019,20,288,NA,NA,NA,NA,0
"Bunia",2019-05-27,2019,21,295,NA,NA,NA,NA,0
"Bunia",2019-06-03,2019,22,302,NA,NA,NA,NA,0
"Bunia",2019-06-10,2019,23,309,NA,NA,NA,NA,1
"Bunia",2019-06-17,2019,24,316,NA,NA,NA,NA,2
"Bunia",2019-06-24,2019,25,323,NA,NA,NA,NA,0
"Bunia",2019-07-01,2019,26,330,NA,NA,NA,NA,0
"Bunia",2019-07-08,2019,27,337,NA,NA,NA,NA,0
"Bunia",2019-07-15,2019,28,344,NA,NA,NA,NA,0
"Bunia",2019-07-22,2019,29,351,NA,NA,NA,NA,0
"Bunia",2019-07-29,2019,30,358,NA,NA,NA,NA,0
"Bunia",2019-08-05,2019,31,365,NA,NA,NA,NA,0
"Bunia",2019-08-12,2019,32,372,NA,NA,NA,NA,1
"Bunia",2019-08-19,2019,33,379,NA,NA,NA,NA,0
"Bunia",2019-08-26,2019,34,386,NA,NA,NA,NA,0
"Bunia",2019-09-02,2019,35,393,NA,NA,NA,NA,0
"Bunia",2019-09-09,2019,36,400,NA,NA,NA,NA,0
"Bunia",2019-09-16,2019,37,407,NA,NA,NA,NA,0
"Bunia",2019-09-23,2019,38,414,NA,NA,NA,NA,0
"Bunia",2019-09-30,2019,39,421,NA,NA,NA,NA,0
"Bunia",2019-10-07,2019,40,428,NA,NA,NA,NA,0
"Bunia",2019-10-14,2019,41,NA,NA,NA,NA,NA,0
"Butembo",2018-08-13,2018,32,8,NA,NA,NA,NA,0
"Butembo",2018-08-20,2018,33,15,NA,NA,NA,NA,0
"Butembo",2018-08-27,2018,34,22,NA,NA,NA,NA,0
"Butembo",2018-09-03,2018,35,29,NA,NA,NA,NA,1
"Butembo",2018-09-10,2018,36,36,NA,NA,NA,NA,2
"Butembo",2018-09-17,2018,37,43,NA,NA,NA,NA,1
"Butembo",2018-09-24,2018,38,50,NA,NA,NA,NA,0
"Butembo",2018-10-01,2018,39,57,NA,NA,NA,NA,1
"Butembo",2018-10-08,2018,40,64,NA,NA,NA,NA,1
"Butembo",2018-10-15,2018,41,71,NA,NA,NA,NA,0
"Butembo",2018-10-22,2018,42,78,NA,NA,NA,NA,1
"Butembo",2018-10-29,2018,43,85,NA,NA,NA,NA,2
"Butembo",2018-11-05,2018,44,92,NA,NA,NA,NA,0
"Butembo",2018-11-12,2018,45,99,NA,NA,NA,NA,3
"Butembo",2018-11-19,2018,46,106,1.13028117113753,0.397323913935683,0.4,2,5
"Butembo",2018-11-26,2018,47,113,0.743370942247026,0.249357264965716,0.25,1.190625,4
"Butembo",2018-12-03,2018,48,120,0.830708682428941,0.31061528068348,0.245833333333334,1.5,7
"Butembo",2018-12-10,2018,49,127,1.17043451416803,0.706423434022593,0,2.5,6
"Butembo",2018-12-17,2018,50,134,1.14333071277582,0.308962104197792,0.579166666666667,1.83333333333333,1
"Butembo",2018-12-24,2018,51,141,0.815142526635887,0.4031225192557,0.25,1.5,5
"Butembo",2018-12-31,2018,52,148,0.80844609439336,0.249640205698796,0.285714285714286,1.28571428571429,4
"Butembo",2019-01-07,2019,1,155,1.2082514507314,0.550894497406103,0.333333333333333,2.33333333333333,6
"Butembo",2019-01-14,2019,2,162,1.29538523314155,0.59043213759678,0.333333333333333,2.66666666666667,2
"Butembo",2019-01-21,2019,3,169,1.34714244713388,0.425914835259102,0.6,2.2,3
"Butembo",2019-01-28,2019,4,176,1.32926628159438,0.416903558577171,0.6,2,5
"Butembo",2019-02-04,2019,5,183,1.185601487011,0.36188277176902,0.5,1.83333333333333,5
"Butembo",2019-02-11,2019,6,190,0.963516681975668,0.284464917975327,0.428571428571429,1.50357142857143,5
"Butembo",2019-02-18,2019,7,197,0.819952323743797,0.261140074053281,0.375,1.375,6
"Butembo",2019-02-25,2019,8,204,0.85079868919883,0.233393127815775,0.444444444444444,1.33333333333333,5
"Butembo",2019-03-04,2019,9,211,1.10735071020371,0.408580317381421,0.4,2,8
"Butembo",2019-03-11,2019,10,218,1.56365729405282,0.357898884875349,0.857142857142857,2.28571428571429,5
"Butembo",2019-03-18,2019,11,225,1.76105083546488,0.595717011268799,0.75,3,4
"Butembo",2019-03-25,2019,12,232,1.85639827736675,0.362393881456767,1.11111111111111,2.55555555555556,4
"Butembo",2019-04-01,2019,13,239,1.62283302206838,0.299389674915153,1.04318181818182,2.18181818181818,7
"Butembo",2019-04-08,2019,14,246,1.16318769162439,0.209237043871226,0.777777777777778,1.61111111111111,10
"Butembo",2019-04-15,2019,15,253,1.15219113384677,0.208819139660135,0.777777777777778,1.55555555555556,15
"Butembo",2019-04-22,2019,16,260,1.31126437355124,0.297362548641057,0.818181818181818,1.90909090909091,16
"Butembo",2019-04-29,2019,17,267,1.17346799113955,0.185056594406772,0.80952380952381,1.52380952380952,11
"Butembo",2019-05-06,2019,18,274,0.88512480993797,0.160146046852748,0.567045454545455,1.20568181818182,19
"Butembo",2019-05-13,2019,19,281,0.516318151483752,0.114968041928361,0.296296296296296,0.740740740740741,17
