"p_success_prev","out_mean","out_lci","out_uci"
0,0.574762568175433,0.509598600130871,0.637410484379075
0.05,0.568654068890517,0.5055204444066,0.629604928702387
0.1,0.562525152082742,0.501347427137693,0.6218218402964
0.15,0.556377586270261,0.497070170004095,0.614076314040786
0.2,0.550213161264339,0.492678359173961,0.606384545910777
0.25,0.544033686197988,0.488160733628794,0.598763831503324
0.3,0.537840987509555,0.483505121786728,0.591232515475727
0.35,0.53163690688581,0.478698554971515,0.58380986341383
0.4,0.525423299169202,0.473727497825974,0.576515816101917
0.45,0.51920203023409,0.468578247224907,0.569370574715853
0.5,0.512974974836898,0.463237554929419,0.562393961779159
0.55,0.506744014445227,0.457693509750245,0.555604522200409
0.6,0.500511035051038,0.451936652749117,0.549018390952538
0.65,0.4942779249731,0.445961188399513,0.54264806456518
0.7,0.488046572653924,0.439766033712515,0.536501334518826
0.75,0.481818864456424,0.433355403027222,0.530580684936997
0.8,0.47559668246557,0.426738731423812,0.524883351714313
0.85,0.469381902300243,0.419929961605098,0.51940201833002
0.9,0.463176390940498,0.412946422015186,0.514125920672332
0.95,0.456982004575358,0.405807593120888,0.50904206403964
1,0.450800586476192,0.398533994768059,0.50413631949504
