"p_success_curr","out_mean","out_lci","out_uci"
0,1.15858066719175,0.8031927477365,1.68010169283236
0.05,1.13327024196898,0.79863836802378,1.61609345076341
0.1,1.1085356989653,0.793843239883035,1.55515082518837
0.15,1.0843635016018,0.788765267246106,1.4972004341055
0.2,1.06074043935618,0.783355427333257,1.44218063898847
0.25,1.03765361977075,0.77755680004964,1.39004231428229
0.3,1.01509046065882,0.771303674898431,1.3407495477958
0.35,0.993038682504279,0.764520917417472,1.29428008963161
0.4,0.97148630104968,0.757123882113885,1.25062526234136
0.45,0.950421620068105,0.749019278593998,1.20978892528551
0.5,0.929833224314151,0.740107495878148,1.17178498789829
0.55,0.909709972649624,0.73028690631828,1.13663295014287
0.6,0.890040991339532,0.719460549885692,1.10435106910508
0.65,0.870815667514159,0.707545345273444,1.07494700500858
0.7,0.852023642793036,0.694483617358496,1.04840615684532
0.75,0.833654807066784,0.680256081457857,1.02467854693689
0.8,0.815699292432891,0.664893980656636,1.00366655790909
0.85,0.798147467281556,0.64848602644983,0.985217871608477
0.9,0.780989930527874,0.631175347201737,0.969128405236738
0.95,0.764217505986708,0.613145137729329,0.955156551186003
1,0.747821236886663,0.594597359412225,0.94304437097036
