"p_success_prev_3w","out_mean","out_lci","out_uci"
0,0.525047233652836,0.453404620137668,0.597002456781646
0.05,0.522011935227624,0.452540546925073,0.591923399675378
0.1,0.518974818685671,0.451586372697839,0.586913610228781
0.15,0.515936095114031,0.450532710610309,0.58198429666539
0.2,0.512895976109751,0.449369182291352,0.577147681517599
0.25,0.509854673725703,0.448084392769959,0.572417024728714
0.3,0.506812400416126,0.446665960694633,0.567806591411251
0.35,0.5037693689819,0.445100638105925,0.563331530006283
0.4,0.500725792515595,0.443374564245843,0.559007616364452
0.45,0.497681884346303,0.441473702594267,0.554850814563052
0.5,0.494637857984294,0.439384499201506,0.550876616394679
0.55,0.491593927065524,0.437094760004605,0.547099161844686
0.6,0.488550305296014,0.434594668158357,0.543530219531357
0.65,0.485507206396141,0.431877767381178,0.54017820111369
0.7,0.482464844044861,0.428941677859642,0.537047443128091
0.75,0.479423431823889,0.425788348941835,0.534137952028973
0.8,0.476383183161887,0.422423792481264,0.531445668576734
0.85,0.473344311278654,0.418857405200255,0.52896314320944
0.9,0.47030702912938,0.415101083312687,0.526680419163568
0.95,0.467271549348972,0.411168327126278,0.524585925628865
1,0.464238084196493,0.407073465437686,0.522667251129218
