"p_success_curr","out_mean","out_lci","out_uci"
0,1.11926379615311,0.744099119668097,1.68721853307387
0.05,1.085954834069,0.733050306003556,1.61215450534961
0.1,1.05473103552675,0.722648828474075,1.54262894633054
0.15,1.02582457286085,0.713232244742724,1.47850601320076
0.2,0.99953463871917,0.705244737696586,1.41966729655982
0.25,0.976200813341403,0.699180054191563,1.36605710703173
0.3,0.956141293145261,0.695447386255815,1.31775311838819
0.35,0.939551133829876,0.694174070318635,1.2750041399472
0.4,0.92637139419872,0.695033307901967,1.2381235803914
0.45,0.916162318510372,0.697249615652481,1.20713141138953
0.5,0.908032732526375,0.699847317305449,1.18122720551586
0.55,0.900677199754619,0.701912112008836,1.1585364709638
0.6,0.892539250397998,0.70252332697178,1.13660275487802
0.65,0.882062438823292,0.700442134935342,1.11341964268732
0.7,0.867948660263904,0.694013784045137,1.08819003007626
0.75,0.849351677220132,0.681582502766367,1.06120939475302
0.8,0.825984681765074,0.662270499960139,1.03305167300431
0.85,0.798160409438288,0.636457405076707,1.00400820084676
0.9,0.766772315674721,0.605470853296519,0.974431856207732
0.95,0.733191107104928,0.570936819523175,0.945365894102893
1,0.699051478273778,0.534459312693973,0.918506022701328
