"p_success_prev","out_mean","out_lci","out_uci"
0,0.575760059796488,0.497549992364306,0.650360745148667
0.05,0.569594014683613,0.494787735943835,0.641347360150628
0.1,0.563407437135209,0.491912726582349,0.632341873277413
0.15,0.55720221191116,0.488908646988673,0.623368643696074
0.2,0.550980245682701,0.485756507718143,0.614455025039094
0.25,0.544743464709481,0.482434276361164,0.605631711276537
0.3,0.538493812468037,0.478916528089208,0.596933059172902
0.35,0.532233247237837,0.475174183180516,0.588397321873584
0.4,0.525963739651166,0.471174449522477,0.580066675813189
0.45,0.519687270213342,0.466881174274184,0.571986836971356
0.5,0.513405826799826,0.462255935928077,0.5642059354641
0.55,0.507121402136899,0.457260338889897,0.556772186593271
0.6,0.500835991272661,0.451859937914352,0.549729931270695
0.65,0.494551589045094,0.44602967496752,0.543114163508831
0.7,0.48827018755398,0.43975949158467,0.536944882177775
0.75,0.481993773643412,0.433057698924218,0.531223685098635
0.8,0.475724326401569,0.425950282826874,0.525934428433804
0.85,0.469463814684366,0.418476587587673,0.521047507931457
0.9,0.463214194669444,0.410683575428162,0.516525565294156
0.95,0.456977407446828,0.402620722146738,0.512328559439758
1,0.450755376652414,0.394336453177143,0.508417298656914
