"p_success_curr_3w","out_mean","out_lci","out_uci"
0,1.48612046347466,0.958035820715358,2.01420510623396
0.05,1.45216362403722,0.94778725464968,1.95653999342475
0.1,1.41820678459977,0.936499981948041,1.8999135872515
0.15,1.38424994516233,0.92402010187307,1.84447978845158
0.2,1.35029310572488,0.91017134400946,1.7904148674403
0.25,1.31633626628744,0.894754162882799,1.73791836969207
0.3,1.28237942684999,0.877546627235571,1.68721222646441
0.35,1.24842258741255,0.858308341733455,1.63853683309164
0.4,1.2144657479751,0.836788894430806,1.5921426015194
0.45,1.18050890853766,0.812742093094677,1.54827572398064
0.5,1.14655206910021,0.785946026016609,1.50715811218381
0.55,1.11259522966277,0.756226547624814,1.46896391170072
0.6,1.07863839022532,0.723478985571501,1.43379779487914
0.65,1.04468155078788,0.68768170357438,1.40168139800137
0.7,1.01072471135043,0.648897252610627,1.37255217009024
0.75,0.976767871912987,0.607261367250718,1.34627437657526
0.8,0.942811032475542,0.562964091543918,1.32265797340717
0.85,0.908854193038098,0.516228629930422,1.30147975614577
0.9,0.874897353600653,0.467292287290002,1.2825024199113
0.95,0.840940514163208,0.416391682548481,1.26548934577793
1,0.806983674725763,0.363752616983985,1.25021473246754
